x,y
3,-5
6,-8
6,-8
6,-8
6,-8
6,-8
6,-8
6,-8
6,-8
3,-4
6,-8
6,-8
6,-8
6,-8
6,-8
6,-8
6,-8
6,-8
2,-3
6,-8
6,-9
6,-9
6,-9
6,-9
6,-9
6,-9
6,-9
1,-1
6,-9
6,-9
6,-9
6,-9
6,-9
6,-9
6,-9
6,-8
7,-9
7,-9
7,-9
7,-9
7,-9
7,-9
7,-9
4,-6
7,-9
7,-9
7,-9
7,-9
7,-9
7,-9
7,-9
2,-3
7,-10
7,-10
8,-10
8,-10
8,-10
8,-10
7,-9
8,-10
8,-10
8,-10
8,-10
8,-10
8,-10
5,-6
8,-10
9,-10
9,-11
9,-11
9,-11
9,-11
2,-2
9,-11
9,-11
9,-11
9,-11
9,-11
8,-9
10,-11
10,-11
10,-12
10,-12
10,-12
4,-5
10,-12
11,-12
11,-12
11,-12
11,-13
1,-1
11,-12
11,-13
11,-13
12,-13
9,-10
12,-13
12,-13
12,-13
12,-14
6,-6
12,-13
13,-13
13,-14
13,-14
3,-3
13,-13
13,-13
13,-13
14,-14
1,-2
13,-12
13,-13
13,-13
14,-14
1,-1
13,-11
13,-12
13,-12
14,-13
1,-1
12,-10
12,-11
13,-11
13,-12
3,-3
11,-9
12,-10
12,-10
13,-11
5,-4
11,-8
11,-8
11,-9
12,-10
7,-6
10,-6
10,-7
11,-8
11,-9
9,-8
9,-5
9,-6
10,-7
10,-7
11,-9
1,0
8,-4
8,-5
9,-5
10,-6
10,-8
3,-2
7,-2
8,-3
8,-4
9,-5
10,-7
6,-4
6,0
7,-2
7,-3
8,-4
10,-6
8,-6
4,2
5,0
6,-1
8,-3
9,-6
10,-8
2,5
4,3
5,0
7,-3
9,-5
14,-12
-1,10
3,4
5,1
7,-2
9,-5
14,-13
5,-6
x,y
35,-2
35,-2
35,-2
35,-2
35,-2
35,-2
35,-2
35,-2
35,-2
35,-2
35,-2
35,-2
35,-2
35,-2
35,-2
35,-2
35,-2
35,-2
35,-2
35,-2
35,-2
35,-2
35,-2
35,-2
35,-2
35,-2
35,-2
35,-2
35,-2
35,-2
35,-2
35,-2
35,-2
35,-2
34,-2
0,0
34,-2
1,0
34,-2
1,0
33,-2
1,0
33,-2
2,0
33,-2
2,0
32,-2
2,0
32,-2
3,0
32,-2
3,0
31,-2
3,0
31,-2
4,0
31,-2
4,0
30,-2
4,0
30,-2
4,0
30,-2
5,0
30,-2
5,0
29,-2
5,0
29,-2
5,0
29,-1
6,0
29,-1
6,0
28,-1
6,0
28,-1
6,0
28,-1
7,0
28,-1
7,0
27,-1
7,0
27,-1
7,0
27,-1
8,0
27,-1
8,0
26,-1
8,0
26,-1
8,0
26,-1
9,-1
26,-1
9,-1
26,-1
